"COL1","COL2","COL3"
"A.K","N","Alaska"
"A.K.","N","Alaska"
"A.L","N","Alabama"
"A.L.","N","Alabama"
"A.R","N","Arkansas"
"A.R.","N","Arkansas"
"A.S","N","American Samoa"
"A.S.","N","American Samoa"
"A.Z","N","Arizona"
"A.Z.","N","Arizona"
"AK","N","Alaska"
"AL","N","Alabama"
"AR","N","Arkansas"
"AS","N","American Samoa"
"AZ","N","Arizona"
"C.A","N","California"
"C.A.","N","California"
"C.O","N","Colorado"
"C.O.","N","Colorado"
"C.T","N","Connecticut"
"C.T.","N","Connecticut"
"CA","N","California"
"CO","N","Colorado"
"CT","N","Connecticut"
"D.C","N","District of Columbia"
"D.C.","N","District of Columbia"
"D.E","N","Delaware"
"D.E.","N","Delaware"
"DC","N","District of Columbia"
"DE","N","Delaware"
"F.L","N","Florida"
"F.L.","N","Florida"
"FL","N","Florida"
"G.A","N","Georgia"
"G.A.","N","Georgia"
"G.U","N","Guam"
"G.U.","N","Guam"
"GA","N","Georgia"
"GU","N","Guam"
"H.I","N","Hawaii"
"H.I.","N","Hawaii"
"HI","N","Hawaii"
"I.A","N","Iowa"
"I.A.","N","Iowa"
"I.D","N","Idaho"
"I.D.","N","Idaho"
"I.L","N","Illinois"
"I.L.","N","Illinois"
"I.N","N","Indiana"
"I.N.","N","Indiana"
"IA","N","Iowa"
"ID","N","Idaho"
"IL","N","Illinois"
"IN","N","Indiana"
"K.S","N","Kansas"
"K.S.","N","Kansas"
"K.Y","N","Kentucky"
"K.Y.","N","Kentucky"
"KS","N","Kansas"
"KY","N","Kentucky"
"L.A","N","Louisiana"
"L.A.","N","Louisiana"
"LA","N","Louisiana"
"M.A","N","Massachusetts"
"M.A.","N","Massachusetts"
"M.D","N","Maryland"
"M.D.","N","Maryland"
"M.E","N","Maine"
"M.E.","N","Maine"
"M.I","N","Michigan"
"M.I.","N","Michigan"
"M.N","N","Minnesota"
"M.N.","N","Minnesota"
"M.O","N","Missouri"
"M.O.","N","Missouri"
"M.P","N","Northern Mariana Islands"
"M.P.","N","Northern Mariana Islands"
"M.S","N","Mississippi"
"M.S.","N","Mississippi"
"M.T","N","Montana"
"M.T.","N","Montana"
"MA","N","Massachusetts"
"MD","N","Maryland"
"ME","N","Maine"
"MI","N","Michigan"
"MN","N","Minnesota"
"MO","N","Missouri"
"MP","N","Northern Mariana Islands"
"MS","N","Mississippi"
"MT","N","Montana"
"N.C","N","North Carolina"
"N.C.","N","North Carolina"
"N.D","N","North Dakota"
"N.D.","N","North Dakota"
"N.E","N","Nebraska"
"N.E.","N","Nebraska"
"N.H","N","New Hampshire"
"N.H.","N","New Hampshire"
"N.J","N","New Jersey"
"N.J.","N","New Jersey"
"N.M","N","New Mexico"
"N.M.","N","New Mexico"
"N.V","N","Nevada"
"N.V.","N","Nevada"
"N.Y","N","New York"
"N.Y.","N","New York"
"NC","N","North Carolina"
"ND","N","North Dakota"
"NE","N","Nebraska"
"NH","N","New Hampshire"
"NJ","N","New Jersey"
"NM","N","New Mexico"
"NV","N","Nevada"
"NY","N","New York"
"O.H","N","Ohio"
"O.H.","N","Ohio"
"O.K","N","Oklahoma"
"O.K.","N","Oklahoma"
"O.R","N","Oregon"
"O.R.","N","Oregon"
"OH","N","Ohio"
"OK","N","Oklahoma"
"OR","N","Oregon"
"P.A","N","Pennsylvania"
"P.A.","N","Pennsylvania"
"P.R","N","Puerto Rico"
"P.R.","N","Puerto Rico"
"PA","N","Pennsylvania"
"PR","N","Puerto Rico"
"R.I","N","Rhode Island"
"R.I.","N","Rhode Island"
"RI","N","Rhode Island"
"S.C","N","South Carolina"
"S.C.","N","South Carolina"
"S.D","N","South Dakota"
"S.D.","N","South Dakota"
"SC","N","South Carolina"
"SD","N","South Dakota"
"T.N","N","Tennessee"
"T.N.","N","Tennessee"
"T.X","N","Texas"
"T.X.","N","Texas"
"TN","N","Tennessee"
"TX","N","Texas"
"U.T","N","Utah"
"U.T.","N","Utah"
"UT","N","Utah"
"V.A","N","Virginia"
"V.A.","N","Virginia"
"V.I","N","Virgin Islands"
"V.I.","N","Virgin Islands"
"V.T","N","Vermont"
"V.T.","N","Vermont"
"VA","N","Virginia"
"VI","N","Virgin Islands"
"VT","N","Vermont"
"W.A","N","Washington"
"W.A.","N","Washington"
"W.I","N","Wisconsin"
"W.I.","N","Wisconsin"
"W.V","N","West Virginia"
"W.V.","N","West Virginia"
"W.Y","N","Wyoming"
"W.Y.","N","Wyoming"
"WA","N","Washington"
"WI","N","Wisconsin"
"WV","N","West Virginia"
"WY","N","Wyoming"
